battery_id,manufacturer,chemistry,capacity_kWh,charge_cycles,avg_temp_celsius,discharge_rate_c,charge_rate_c,avg_soc_percent,storage_time_months,fast_charge_ratio,calendar_age_years,capacity_retained_percent
BAT007022,BYD,NMC,109.76,601.0,9.71,1.21,1.186,37.7,0.6,0.207,2.34,87.3
BAT013492,Tesla,NMC,75.06,744.0,12.68,0.661,0.5,57.78,1.4,0.593,1.09,79.97
BAT008471,Panasonic,NMC,45.3,538.0,20.41,0.5,,30.48,3.8,0.667,3.16,84.84
BAT008535,CATL,NMC,82.01,929.0,24.36,0.5,1.139,55.6,5.3,0.233,0.49,88.1
BAT001746,LG Chem,NMC,86.44,1387.0,37.23,1.166,1.284,58.45,0.2,0.103,7.26,69.95
BAT003854,Samsung SDI,NMC,61.02,944.0,24.49,0.805,0.5,65.58,5.2,0.058,0.8,87.78
BAT012410,,NMC,62.35,506.0,16.61,1.233,0.546,66.27,2.7,0.299,1.28,93.34
BAT014638,LG Chem,NMC,65.99,726.0,26.12,0.5,0.968,42.41,0.6,0.399,0.73,86.85
BAT002710,,NMC,40.0,682.0,33.59,1.123,0.841,66.09,1.8,0.402,1.68,83.76
BAT009762,Tesla,NMC,69.37,403.0,,0.5,1.854,38.96,4.9,0.149,1.17,91.92
BAT003389,Tesla,,74.27,560.0,,2.026,0.5,37.86,2.0,0.06,6.82,82.18
BAT014688,BYD,,95.5,819.0,29.62,0.724,0.5,55.54,1.0,0.171,1.5,84.89
BAT012108,Panasonic,LFP,75.63,764.0,24.48,0.666,1.217,,7.1,0.612,2.8,83.85
BAT014721,CATL,NMC,91.67,726.0,32.92,1.443,1.682,66.79,0.1,0.665,4.56,81.81
BAT005641,CATL,NMC,68.96,1626.0,27.59,1.518,0.906,71.06,6.7,0.175,2.86,78.15
BAT008315,LG Chem,NMC,81.98,1125.0,28.87,1.119,0.976,55.61,5.8,,1.84,82.3
BAT003127,CATL,LFP,42.47,793.0,33.43,0.606,1.134,20.17,1.0,0.218,2.14,87.08
BAT001157,Tesla,NMC,75.8,703.0,16.63,0.5,1.831,17.93,1.9,0.128,0.35,88.51
BAT009826,BYD,NMC,79.44,597.0,27.86,1.09,1.552,53.51,12.9,0.382,4.25,85.34
BAT000033,Tesla,NMC,92.63,1271.0,31.34,1.546,0.5,84.98,5.4,,5.29,77.23
BAT010123,Samsung SDI,NCA,67.51,770.0,8.74,1.537,1.699,50.08,9.1,0.575,0.67,85.97
BAT011631,Samsung SDI,NMC,49.12,588.0,28.57,0.5,0.956,60.45,3.4,0.132,2.24,85.8
BAT001337,Tesla,NMC,74.22,193.0,,1.536,0.5,46.52,2.0,0.248,0.1,94.83
BAT013535,LG Chem,NMC,86.83,819.0,23.94,0.5,0.5,69.46,,0.295,0.89,87.52
BAT010800,Tesla,LFP,54.9,1270.0,25.59,0.5,1.107,64.35,1.7,0.141,1.46,87.58
BAT012843,LG Chem,NMC,87.45,845.0,26.1,0.847,0.549,75.43,8.0,0.113,2.06,86.11
BAT008825,BYD,NMC,61.98,1097.0,19.06,0.5,1.396,90.0,0.4,0.192,2.15,85.89
BAT001611,Samsung SDI,NMC,72.0,1207.0,23.75,2.104,1.186,48.29,0.9,0.033,0.93,88.29
BAT000940,CATL,NCA,,941.0,20.83,1.345,0.5,57.15,,0.456,0.26,82.04
BAT005382,LG Chem,NMC,69.65,644.0,15.13,2.354,0.5,66.48,4.3,0.311,0.74,90.65
BAT004024,BYD,NCA,101.58,1272.0,,2.168,0.774,50.75,0.1,0.086,3.44,78.79
BAT006244,BYD,NMC,105.02,661.0,25.14,0.5,0.545,51.56,2.0,0.096,,93.0
BAT013220,,NMC,63.38,749.0,0.2,0.946,0.691,75.16,9.0,0.271,3.55,83.78
BAT011033,LG Chem,NMC,67.78,288.0,31.9,0.5,1.278,40.28,0.0,0.424,1.21,90.83
BAT000746,Samsung SDI,LFP,72.29,630.0,19.57,0.923,0.685,87.07,,0.161,0.1,91.0
BAT004084,BYD,LFP,78.62,,18.21,0.5,0.588,45.72,9.6,0.687,6.09,89.29
BAT009641,LG Chem,NMC,65.95,929.0,16.29,1.015,2.173,46.82,2.6,0.379,0.44,85.93
BAT002878,Panasonic,NMC,82.6,1630.0,25.89,0.5,0.797,,2.7,0.448,6.97,69.61
BAT004964,BYD,NCA,51.75,621.0,27.36,0.5,0.943,66.46,2.7,0.119,5.2,82.26
BAT004702,Tesla,NMC,67.52,847.0,18.14,1.398,1.14,64.48,,0.222,0.92,90.93
BAT001742,BYD,NCA,53.33,,30.01,1.347,,75.77,2.9,0.448,1.16,88.76
BAT009272,LG Chem,NMC,79.68,1621.0,,0.816,0.5,54.07,0.6,0.175,0.48,85.08
BAT002652,Panasonic,NMC,64.5,423.0,19.42,0.834,0.5,53.45,3.9,0.173,2.28,89.19
BAT005666,BYD,LFP,58.32,517.0,30.61,,1.295,57.59,2.9,0.237,0.42,92.15
BAT003003,Panasonic,NMC,67.08,785.0,21.77,1.628,0.934,43.26,0.8,0.208,1.1,84.82
BAT001822,Tesla,NMC,,1395.0,36.08,0.5,0.687,,0.3,0.465,1.86,74.03
BAT013384,LG Chem,NCA,87.22,692.0,23.6,1.542,1.195,,0.7,0.381,1.26,84.0
BAT001331,CATL,NMC,81.56,549.0,28.59,1.167,0.814,57.87,7.8,0.377,1.51,
BAT014884,LG Chem,NCA,85.2,736.0,,,0.757,61.79,6.4,0.347,2.49,87.04
BAT000958,Tesla,NMC,,595.0,39.47,1.177,,34.64,10.6,0.63,0.33,84.63
BAT002111,Tesla,,54.17,624.0,12.0,0.758,0.554,51.42,0.1,0.019,4.48,95.22
BAT005400,BYD,LFP,82.89,269.0,22.76,0.667,1.495,40.31,0.9,0.725,0.3,91.36
BAT004692,Panasonic,NMC,73.91,598.0,24.0,0.935,0.96,45.59,1.6,0.435,2.22,88.88
BAT001661,CATL,LFP,102.94,1883.0,18.27,,0.684,56.95,5.9,0.175,6.78,75.07
BAT013803,Samsung SDI,LFP,68.86,867.0,13.25,1.071,1.043,43.97,3.1,0.137,2.21,86.98
BAT005107,Panasonic,NCA,40.0,904.0,21.22,0.666,0.793,38.09,1.4,0.236,0.12,88.09
BAT013354,CATL,NMC,,641.0,30.59,1.551,0.981,,4.4,0.16,5.63,83.96
BAT000656,Tesla,NMC,51.54,809.0,,0.678,0.625,42.68,0.9,0.303,0.86,86.68
BAT012045,BYD,LFP,74.89,642.0,21.32,1.647,0.547,46.44,1.7,0.821,2.35,85.86
BAT014845,BYD,NMC,70.88,193.0,18.54,1.094,0.895,48.51,13.1,0.157,0.18,96.2
BAT013986,Panasonic,LFP,92.03,740.0,30.27,1.53,0.5,57.01,2.4,0.309,4.21,84.63
BAT007975,LG Chem,LFP,,1644.0,23.27,1.353,1.626,51.24,0.0,0.522,5.87,71.59
BAT008613,Samsung SDI,LFP,70.9,50.0,25.61,0.692,1.254,44.41,10.4,,0.22,99.39
BAT006884,LG Chem,LFP,54.43,830.0,34.58,0.89,0.768,67.64,0.2,0.253,,87.94
BAT002200,LG Chem,LFP,86.51,1237.0,30.74,1.214,0.515,27.49,0.7,0.093,3.61,85.09
BAT002961,Tesla,NMC,82.31,407.0,34.92,0.794,1.615,78.39,1.5,0.111,2.67,
BAT004641,Samsung SDI,NMC,112.56,253.0,22.4,0.5,1.26,56.64,3.5,0.121,1.49,94.09
BAT009165,Samsung SDI,NMC,73.63,317.0,16.86,1.363,1.006,47.3,6.4,,0.16,91.12
BAT013041,LG Chem,,69.74,276.0,25.39,0.734,,58.93,0.6,0.182,6.65,86.78
BAT011424,CATL,LFP,74.66,824.0,32.98,0.77,1.1,,4.7,0.588,7.33,76.89
BAT005869,BYD,NCA,87.82,100.0,29.28,0.5,0.513,38.84,,0.447,,84.04
BAT011550,Samsung SDI,NMC,72.7,350.0,22.77,1.507,0.5,37.55,5.4,0.017,4.09,93.54
BAT001406,LG Chem,NCA,89.57,911.0,31.05,0.5,0.5,40.51,4.1,,2.75,86.73
BAT010704,Samsung SDI,NMC,57.95,737.0,22.55,1.322,1.037,48.74,6.9,0.468,0.44,88.97
BAT002626,,NMC,93.8,868.0,30.25,1.907,1.223,34.03,1.9,0.339,1.35,87.59
BAT009133,LG Chem,NMC,78.0,865.0,-8.79,0.81,0.5,47.61,0.5,0.2,0.57,89.03
BAT005207,BYD,LFP,74.22,1182.0,27.49,0.5,1.521,59.43,4.5,0.215,,89.41
BAT006085,Panasonic,NMC,113.5,996.0,20.49,,0.798,58.0,0.3,0.437,3.76,77.98
BAT004973,LG Chem,NMC,60.85,701.0,37.76,0.804,0.805,88.79,2.0,,3.52,81.76
BAT003149,BYD,LFP,71.34,267.0,41.22,1.693,0.962,72.71,1.5,0.143,0.1,
BAT008945,Panasonic,NMC,87.36,669.0,26.43,0.5,0.681,62.44,0.9,0.266,0.42,90.64
BAT002874,LG Chem,NMC,62.01,736.0,29.42,0.5,1.621,73.59,0.3,0.525,,84.89
BAT003917,BYD,NMC,98.29,865.0,10.26,0.5,0.992,36.81,2.4,0.021,2.22,87.85
BAT005268,LG Chem,NMC,51.79,583.0,5.45,0.5,0.5,65.32,5.5,0.512,4.97,81.8
BAT006401,CATL,NMC,68.64,1516.0,29.19,2.114,0.766,57.62,0.1,0.158,3.03,
BAT006562,Panasonic,NMC,71.5,1343.0,37.55,0.963,1.493,68.63,1.2,0.283,3.32,78.32
BAT008022,BYD,NMC,76.89,579.0,,2.16,0.793,65.93,9.0,0.053,7.87,84.77
BAT000077,BYD,NMC,55.77,846.0,22.76,0.5,0.868,53.47,5.3,0.422,0.2,87.62
BAT011369,Panasonic,NMC,76.52,832.0,,0.5,0.924,69.48,3.5,,4.38,86.51
BAT009016,,NMC,60.01,532.0,23.78,1.806,0.5,63.48,3.1,0.488,0.42,91.23
BAT013934,Samsung SDI,NMC,65.12,667.0,28.25,0.927,,59.85,0.0,0.126,0.13,90.47
BAT004948,BYD,NMC,61.06,1074.0,29.68,0.816,0.748,26.36,4.4,0.04,3.68,78.49
BAT007823,LG Chem,LFP,93.63,888.0,27.5,0.64,0.943,54.19,0.4,0.442,,87.37
BAT002261,BYD,LFP,81.64,644.0,33.27,1.473,1.305,55.37,3.8,0.134,2.65,85.7
BAT001776,Panasonic,NMC,71.37,272.0,16.3,0.904,0.882,43.87,9.3,0.138,0.76,94.16
BAT005118,LG Chem,NMC,58.92,581.0,-5.54,0.5,0.78,29.37,4.4,0.278,1.97,86.45
BAT007249,Tesla,NCA,44.1,1018.0,31.21,0.5,1.212,55.78,15.1,0.311,0.42,80.87
BAT000094,CATL,NMC,81.75,557.0,20.64,0.59,1.19,40.87,8.4,0.377,2.53,89.72
BAT013276,Panasonic,NMC,61.02,586.0,24.06,0.5,1.648,50.16,7.0,0.139,0.71,89.74
BAT004008,LG Chem,LFP,62.16,850.0,24.33,2.132,1.492,35.65,1.5,0.278,0.11,94.3
BAT007408,Samsung SDI,LFP,,,28.28,0.5,0.886,25.61,15.8,0.236,2.41,83.12
BAT010905,CATL,LFP,70.38,698.0,27.47,1.379,1.494,65.14,3.2,0.248,2.4,
BAT006530,BYD,LFP,67.17,1446.0,15.93,1.116,0.643,82.4,1.2,0.366,0.49,82.89
BAT004811,Tesla,NMC,63.35,794.0,25.46,1.391,0.56,48.91,14.0,0.172,2.8,85.86
BAT003182,Panasonic,NMC,94.58,50.0,48.66,0.5,0.694,67.15,,0.543,,85.81
BAT014391,Tesla,NMC,86.89,584.0,35.33,0.5,1.14,52.25,1.8,0.13,1.06,89.65
BAT001077,LG Chem,NMC,62.31,770.0,37.06,2.676,1.182,66.46,,0.137,5.7,82.84
BAT002339,Tesla,NMC,94.48,,21.88,1.187,0.847,13.61,2.9,0.484,4.91,77.23
BAT005800,Tesla,LFP,56.88,924.0,19.96,1.712,1.335,57.9,7.1,0.201,0.3,91.5
BAT001886,LG Chem,NMC,50.82,592.0,29.38,1.793,1.028,25.96,1.5,0.267,2.38,88.47
BAT005913,,LFP,80.64,543.0,33.59,1.961,1.517,41.2,2.6,0.454,2.39,86.45
BAT009876,Tesla,NMC,70.02,691.0,18.22,1.041,0.778,58.77,1.7,0.264,0.86,90.55
BAT004324,LG Chem,NMC,67.88,50.0,19.93,0.5,0.5,19.56,2.4,0.174,2.57,92.68
BAT004950,BYD,NMC,85.33,595.0,32.02,1.315,1.18,48.6,2.2,0.032,1.01,
BAT005860,CATL,LFP,69.89,252.0,29.58,1.771,1.422,51.8,,0.103,0.29,
BAT010001,Panasonic,NMC,78.36,332.0,24.55,1.595,1.424,47.05,1.7,0.493,0.62,90.07
BAT006904,CATL,NMC,,518.0,35.27,1.278,0.5,66.91,7.1,0.084,1.3,90.94
BAT002760,Tesla,NMC,88.43,466.0,26.41,0.586,0.584,63.86,1.7,0.038,3.98,89.2
BAT014935,Tesla,NMC,81.46,834.0,21.25,1.703,0.872,49.58,3.0,0.148,3.11,85.84
BAT007886,BYD,LFP,91.81,1164.0,17.48,1.355,0.5,63.65,4.0,0.306,,91.15
BAT004031,CATL,NCA,53.28,646.0,24.3,0.764,1.648,42.32,1.4,0.091,0.13,93.36
BAT003353,Samsung SDI,LFP,71.67,455.0,34.38,,0.615,63.02,4.3,0.043,0.8,91.62
BAT001438,CATL,LFP,76.5,610.0,28.37,0.894,1.254,48.21,2.0,0.826,0.43,85.76
BAT001234,Tesla,NMC,40.21,867.0,17.53,0.854,1.156,70.1,2.8,0.316,0.24,87.56
BAT008352,Tesla,LFP,63.71,1009.0,24.43,0.967,1.329,43.33,6.5,0.537,1.05,88.9
BAT004282,BYD,NCA,71.27,833.0,32.2,1.317,,53.99,6.8,0.191,4.78,80.84
BAT005067,LG Chem,NMC,62.53,653.0,24.65,0.957,1.593,60.72,,0.4,0.43,87.94
BAT006729,Samsung SDI,LFP,86.48,1004.0,14.06,1.008,,61.67,6.0,0.137,2.24,88.3
BAT003103,Samsung SDI,NMC,69.27,578.0,25.21,,0.813,38.67,0.3,0.126,0.41,
BAT002466,Panasonic,LFP,63.03,1261.0,,1.668,1.199,43.6,6.4,0.357,0.16,80.57
BAT007769,Tesla,NMC,70.58,,16.47,1.879,1.079,64.7,18.2,0.046,2.74,87.86
BAT006930,CATL,NMC,68.96,848.0,26.85,,0.805,,2.9,0.132,2.37,87.15
BAT000450,Tesla,NMC,76.27,447.0,30.95,0.5,0.908,60.33,12.8,0.203,3.15,83.84
BAT005240,Panasonic,NMC,67.97,1399.0,,1.033,0.86,63.76,3.0,0.413,0.33,80.28
BAT012939,Tesla,LFP,66.9,633.0,7.82,0.819,1.178,83.42,0.1,0.261,2.37,90.78
BAT003622,Panasonic,LFP,70.4,160.0,21.35,0.5,0.839,,1.2,0.374,2.29,93.17
BAT002318,LG Chem,LFP,57.26,497.0,24.35,1.401,0.818,41.32,0.4,0.057,1.61,
BAT006072,Panasonic,NMC,78.94,757.0,16.3,1.001,1.136,48.06,4.2,0.286,0.11,92.84
BAT002186,Samsung SDI,,86.75,668.0,32.47,1.232,0.757,,3.1,0.473,2.18,83.71
BAT004478,Panasonic,NMC,88.32,883.0,13.4,0.771,0.543,50.4,0.3,0.096,1.52,88.76
BAT001891,Tesla,LFP,71.45,1109.0,31.41,1.661,1.155,30.86,4.2,0.391,,87.03
BAT001156,BYD,NMC,98.3,625.0,34.09,2.77,1.302,62.03,8.8,0.318,0.62,84.08
BAT006062,Panasonic,NMC,82.98,412.0,28.22,1.035,0.978,40.06,2.9,0.211,1.37,93.87
BAT007954,Tesla,NMC,66.19,429.0,29.38,0.808,1.807,67.7,4.3,0.079,4.38,91.91
BAT013530,Tesla,NMC,65.04,443.0,47.22,1.042,1.412,88.94,0.1,0.256,2.75,79.46
BAT001729,BYD,LFP,59.39,451.0,14.27,0.899,0.858,63.22,6.1,0.136,0.35,94.1
BAT005152,Panasonic,NMC,56.74,2063.0,25.52,1.528,0.5,79.18,7.7,0.077,1.93,76.68
BAT013243,Tesla,NMC,,730.0,35.91,2.543,1.619,45.06,0.1,0.202,2.0,86.84
BAT007686,BYD,NCA,61.9,1956.0,21.41,1.094,,61.2,4.7,0.498,0.87,74.06
BAT010858,Tesla,NMC,110.43,415.0,21.7,1.147,0.643,65.36,3.4,0.658,1.1,88.8
BAT011240,Panasonic,NCA,70.35,1827.0,19.37,0.5,0.852,68.14,,0.104,2.11,72.29
BAT010482,CATL,NMC,85.13,480.0,-8.51,1.511,,89.51,0.6,0.189,0.71,91.37
BAT004393,CATL,NMC,49.43,175.0,35.72,0.842,0.732,61.25,1.7,0.237,5.22,86.41
BAT008496,Samsung SDI,NMC,72.54,445.0,33.75,1.519,0.769,46.87,3.1,0.455,0.37,86.65
BAT002504,Samsung SDI,NMC,48.85,575.0,,0.838,0.5,41.76,16.0,0.229,0.52,90.73
BAT009499,,LFP,54.75,1811.0,25.12,1.418,0.742,56.84,1.9,0.27,0.54,80.81
BAT002464,CATL,NMC,47.48,963.0,39.42,0.587,,68.42,1.9,0.208,0.89,81.7
BAT005716,Panasonic,LFP,40.0,714.0,33.94,0.5,0.5,47.76,0.7,0.094,0.12,88.55
BAT002847,BYD,NMC,57.2,884.0,,0.5,1.19,42.91,,0.808,0.17,80.53
BAT009536,LG Chem,NMC,75.88,766.0,22.07,0.5,1.344,61.22,6.3,0.079,0.1,92.51
BAT012471,CATL,LFP,81.85,1190.0,21.08,0.88,0.839,48.17,1.8,0.281,0.1,87.77
BAT001613,CATL,NMC,82.7,536.0,14.25,0.541,1.123,68.4,8.2,0.273,0.42,90.86
BAT006235,Panasonic,LFP,51.19,1200.0,13.55,0.5,0.5,34.53,0.9,0.071,4.16,83.98
BAT002192,Samsung SDI,LFP,70.65,396.0,44.5,0.684,,61.31,3.4,0.154,0.74,89.91
BAT001730,CATL,NMC,81.73,699.0,,0.5,0.662,49.4,1.1,0.209,0.47,88.41
BAT013841,Tesla,NMC,67.62,703.0,36.44,0.5,1.323,43.65,13.1,0.141,1.19,84.94
BAT011553,BYD,NMC,65.7,756.0,16.59,0.5,0.5,71.29,0.0,0.269,1.26,89.62
BAT010428,BYD,NMC,68.09,1140.0,16.23,1.31,0.664,51.88,,0.36,0.62,
BAT008177,Panasonic,LFP,83.99,1469.0,46.07,0.972,0.983,56.57,1.1,0.206,5.44,73.01
BAT009624,BYD,NCA,113.87,239.0,21.22,1.262,0.785,64.11,5.6,0.262,1.58,93.19
BAT012604,LG Chem,LFP,103.99,,12.48,1.506,1.27,46.15,,,0.64,96.05
BAT014679,LG Chem,LFP,81.93,738.0,19.68,0.5,1.46,78.0,7.7,0.291,0.72,91.08
BAT013274,CATL,NMC,67.94,740.0,29.21,1.048,0.5,30.49,1.4,0.414,0.6,87.04
BAT013927,Tesla,NMC,65.55,308.0,20.96,1.279,0.682,55.19,3.2,0.251,0.59,93.15
BAT004048,CATL,NMC,62.21,550.0,20.63,1.027,1.317,,0.6,0.03,1.82,93.09
BAT005688,Samsung SDI,NMC,58.99,721.0,,0.659,0.965,66.92,,0.846,0.27,82.84
BAT008297,CATL,LFP,109.38,392.0,25.34,0.947,0.746,42.5,,0.557,0.34,92.99
BAT007677,BYD,,55.33,553.0,15.53,0.528,0.677,,5.3,0.172,0.9,88.01
BAT010960,BYD,LFP,87.24,557.0,26.23,1.706,0.568,50.29,2.5,,0.16,94.69
BAT004241,CATL,LFP,89.22,933.0,20.45,0.592,1.208,42.71,2.2,0.105,,86.56
BAT006671,Panasonic,NMC,65.81,766.0,43.1,0.5,1.093,24.1,8.4,0.669,,79.19
BAT007307,BYD,LFP,81.1,,33.1,0.5,1.319,53.29,0.2,0.179,1.17,92.14
BAT002756,Panasonic,NMC,76.65,532.0,23.38,1.368,0.509,32.53,0.3,0.219,5.24,86.53
BAT002493,BYD,NCA,100.78,826.0,24.48,1.354,0.789,77.66,0.2,0.333,0.45,84.65
BAT003140,Tesla,NCA,85.66,286.0,16.92,0.776,1.426,67.17,6.7,0.118,1.7,92.5
BAT008545,LG Chem,NCA,61.04,524.0,26.81,0.5,1.013,59.84,0.0,0.277,1.99,89.22
BAT013234,Tesla,,84.92,419.0,22.48,1.044,,36.57,0.4,0.261,4.89,89.11
BAT013195,CATL,NMC,74.95,406.0,17.57,0.5,0.82,78.66,4.3,0.308,2.33,90.62
BAT003273,,LFP,56.16,730.0,26.89,1.357,0.942,15.92,21.5,0.549,0.1,
BAT012770,Panasonic,NMC,63.14,667.0,23.4,1.972,1.641,52.99,0.2,,1.46,87.33
BAT008409,LG Chem,NMC,40.0,394.0,18.03,1.177,0.987,76.01,0.5,0.302,5.55,85.9
BAT002890,BYD,LFP,,816.0,26.5,1.939,0.604,82.74,11.5,0.375,,88.03
BAT011171,BYD,NMC,60.14,691.0,30.27,0.683,0.592,50.4,4.4,0.195,0.94,87.78
BAT000789,LG Chem,NMC,81.26,1477.0,18.71,0.5,1.226,40.85,0.5,0.058,0.73,
BAT012961,Tesla,LFP,84.67,513.0,18.85,0.5,1.556,24.38,5.3,0.299,0.1,92.47
BAT009819,Panasonic,NMC,44.76,682.0,30.05,0.5,1.399,52.48,4.1,0.069,1.44,87.17
BAT007842,LG Chem,NCA,54.47,794.0,31.96,0.5,0.776,65.24,1.8,0.089,0.11,88.33
BAT007302,LG Chem,LFP,87.18,354.0,38.48,1.189,0.897,59.92,1.0,0.377,2.22,90.02
BAT007467,BYD,LFP,73.07,50.0,36.86,1.13,1.188,58.19,1.2,0.464,3.12,86.81
BAT005679,BYD,NMC,64.77,640.0,34.81,1.195,1.057,46.69,1.8,0.359,2.03,85.13
BAT009518,BYD,NCA,72.75,188.0,27.03,0.873,0.5,53.67,0.9,0.382,4.41,85.37
BAT003378,Tesla,LFP,68.79,348.0,29.77,1.594,0.692,60.02,1.2,0.157,2.22,93.2
BAT004528,Samsung SDI,NMC,67.72,822.0,21.64,0.69,0.5,71.74,2.8,0.152,2.05,85.54
BAT013023,Samsung SDI,NMC,75.72,1188.0,27.44,1.107,1.069,59.16,4.9,0.243,0.75,84.75
BAT001781,Tesla,NMC,82.37,776.0,26.66,2.135,0.5,62.68,9.8,0.429,0.97,86.63
BAT006757,BYD,LFP,55.95,1227.0,21.0,1.545,2.093,56.67,2.7,0.235,0.43,85.83
BAT002960,BYD,NCA,92.04,485.0,31.38,1.364,0.685,39.64,6.6,0.068,2.1,88.99
BAT014953,BYD,NMC,97.54,640.0,7.81,1.505,0.934,49.39,7.4,0.397,3.81,82.63
BAT010947,Tesla,LFP,75.96,256.0,24.0,1.559,0.641,47.59,0.0,0.263,3.38,92.52
BAT000350,CATL,LFP,42.61,1254.0,26.02,1.55,1.298,57.02,7.8,0.155,1.66,83.63
BAT013860,LG Chem,NMC,107.85,409.0,17.95,1.942,0.767,51.68,2.3,,0.28,92.44
BAT005844,Tesla,NCA,73.24,1266.0,16.52,0.544,0.835,41.08,3.1,0.241,4.88,
BAT003350,Panasonic,NMC,85.4,562.0,18.34,1.192,1.136,53.34,2.0,0.079,1.57,92.56
BAT000043,Tesla,NMC,64.42,771.0,34.97,1.787,1.193,38.16,1.8,0.156,0.12,87.46
BAT000802,Tesla,NMC,78.44,561.0,31.76,1.303,0.765,31.19,6.1,0.164,0.48,92.09
BAT003530,LG Chem,LFP,72.51,421.0,21.58,1.525,,56.45,0.2,0.509,8.14,82.83
BAT011732,Panasonic,NMC,70.23,536.0,28.91,1.975,1.507,58.56,4.3,0.608,0.19,84.45
BAT000982,BYD,NCA,63.36,623.0,30.66,0.571,1.397,34.47,4.2,0.069,2.95,88.41
BAT003459,CATL,NMC,101.4,830.0,33.06,0.5,1.407,67.79,9.6,0.162,0.12,83.88
BAT006452,Samsung SDI,LFP,86.69,674.0,11.29,1.091,1.293,40.1,9.2,0.337,0.44,90.56
BAT014764,LG Chem,LFP,96.02,661.0,16.33,0.702,1.064,90.0,3.7,0.095,0.8,90.34
BAT007591,Tesla,NMC,109.67,366.0,21.87,0.5,1.267,60.77,5.5,0.286,2.73,88.04
BAT008010,Tesla,NCA,62.09,808.0,,,0.856,64.81,5.3,0.122,0.91,88.08
BAT006715,BYD,LFP,51.65,259.0,33.13,1.718,1.134,73.93,,0.302,5.81,84.32
BAT008508,CATL,LFP,82.66,602.0,24.15,0.5,0.827,53.72,5.5,0.373,2.35,87.69
BAT010920,Panasonic,NMC,66.58,1254.0,29.51,1.178,1.333,51.07,1.6,0.139,1.82,88.79
BAT008367,LG Chem,NMC,57.42,613.0,28.2,1.712,0.5,66.87,0.4,0.722,2.9,85.61
BAT011686,LG Chem,LFP,60.77,646.0,20.98,0.5,1.202,59.67,2.1,0.439,,87.66
BAT002757,LG Chem,LFP,72.45,371.0,21.78,0.873,1.258,52.35,4.1,0.221,0.1,90.01
BAT007189,LG Chem,NCA,80.03,711.0,33.61,1.119,1.406,62.16,1.2,0.589,1.4,83.87
BAT000917,Panasonic,,69.82,1195.0,24.53,1.059,0.882,,1.2,0.097,1.12,83.25
BAT004618,BYD,NMC,77.1,507.0,18.55,1.087,1.193,55.49,0.3,0.127,1.4,93.56
BAT001617,Samsung SDI,NMC,62.62,1115.0,28.04,0.5,1.6,55.24,5.1,0.075,1.2,86.3
BAT010603,CATL,LFP,51.78,378.0,27.14,1.793,1.253,82.11,13.3,0.103,,91.64
BAT013330,Samsung SDI,NMC,67.18,74.0,15.77,0.952,1.627,66.21,0.0,0.089,,94.88
BAT002147,LG Chem,,46.44,610.0,25.24,0.942,1.249,39.03,7.6,0.188,0.44,91.85
BAT007192,LG Chem,NMC,85.4,410.0,19.67,0.5,1.387,,4.6,0.259,1.93,92.34
BAT001834,BYD,LFP,69.24,606.0,14.68,1.15,0.76,44.36,0.7,0.412,6.14,86.18
BAT005965,LG Chem,NCA,90.85,151.0,19.94,1.181,0.5,34.42,7.2,0.247,4.08,89.93
BAT014385,BYD,LFP,95.97,384.0,17.79,0.507,1.067,37.6,3.7,0.084,1.39,96.13
BAT005509,Panasonic,NMC,77.01,708.0,33.41,0.5,0.812,68.47,5.2,0.082,0.1,91.99
BAT007406,Panasonic,NMC,88.35,479.0,24.76,,1.648,55.73,0.7,0.241,1.26,90.93
BAT004715,LG Chem,NMC,69.06,754.0,41.89,1.144,0.5,63.15,2.8,0.231,1.01,85.73
BAT005715,CATL,NMC,,528.0,20.12,1.579,1.388,57.38,14.9,0.191,0.5,90.81
BAT009700,BYD,NMC,57.32,847.0,17.75,1.695,1.239,43.56,0.3,0.361,4.31,83.14
BAT010775,Panasonic,NCA,42.82,,21.12,0.5,0.696,68.18,10.0,0.275,0.1,97.26
BAT000783,Panasonic,NMC,70.42,538.0,26.44,0.5,0.938,77.76,1.3,0.373,0.76,87.93
BAT006174,BYD,,59.67,1626.0,,1.372,0.762,27.32,1.4,0.22,1.21,75.98
BAT007524,BYD,NMC,52.21,635.0,25.26,1.477,1.161,57.34,3.0,0.5,2.02,82.15
BAT005397,Tesla,NMC,78.06,949.0,23.82,1.252,1.251,50.42,1.5,0.513,1.18,81.1
BAT014564,BYD,NCA,88.73,392.0,22.54,0.718,0.93,43.18,6.7,0.366,1.16,90.87
BAT012520,CATL,NMC,77.46,635.0,29.16,1.206,1.393,57.75,18.2,0.248,2.72,85.85
BAT009036,BYD,LFP,95.22,488.0,34.18,1.644,0.684,67.95,8.2,0.11,0.26,92.5
BAT004839,Tesla,NMC,88.13,661.0,18.97,1.103,0.601,46.59,4.3,0.135,1.09,92.65
BAT002402,Tesla,LFP,83.64,296.0,20.32,0.5,1.422,76.02,1.9,0.237,0.84,97.52
BAT007664,LG Chem,LFP,73.92,423.0,28.26,1.952,0.692,75.42,0.6,0.498,0.1,89.13
BAT004206,LG Chem,LFP,87.57,506.0,29.13,0.665,0.787,30.36,0.6,0.447,4.45,88.2
BAT004642,Panasonic,NCA,75.46,,30.49,0.5,0.929,56.95,4.5,0.575,3.09,79.44
